place,location,content,rating_num,dates
kuta,Waterbom_Bali,"This was unexpectedly so much fun and a really great way to spend a day with the family. We were with a 3 year old toddler, and there were still many options to keep us buys through the day. Highly recommended as an alternative activity whilst in Bali, for Kids and the Adults.",5,2021-12-30
kuta,Waterbom_Bali,"An enjoyable day with my family. Booked the tickets online through waterbom website, quite easy. The staff was friendly and well trained. One of the best water parks. Please remember that it is only open from Friday till Sunday",5,2021-12-30
kuta,Waterbom_Bali,A place of fun and joy! We really high recommend to visit waterbom. The staffs there were gorgeous. Can’t wait to ho there again.,4,2021-12-14
kuta,Waterbom_Bali,This is the place to make memorable experience.There are exciting waterslides and water games for all ages.And the best thing is the changing room  is clean,5,2021-12-14
kuta,Waterbom_Bali,"We came here multiple times but only now have I had the chance to leave something nice. Waterbom Kuta Bali is definitely one of the best waterparks in Indonesia. Service is wonderful, food is surprisingly nice overall too. The entrance tickets may seem a bit pricey but I’d say it is worth a whole day at the pool, plus they have lots of promotions going on. Hopefully they can survive this pandemic. Will come back soon with my kids!",5,2021-12-05
kuta,Waterbom_Bali,"We had a awesome day in Waterbom park. First, they give you a wrist band that you can charge and buy food, drinks, etc. in the park. If your wrist band is still charged when you leave. The rest of the money will be returned to you. It is a large water park with high water slides. One of the best parts is the lazy river that sleeps on the tube and the flow of water moves you in a green direction. There are a number of cafes and fast foods there. We used massage there, they were not professional but it is good for the park. Spend a full day at Waterbom,  it 's a lot of fun.",5,2021-09-18
kuta,Waterbom_Bali,Awesome day out for kids and grown ups alike. Rides are world class with plenty of safety staff. Facilities well maintained and clean. Pricey food as expected in any theme park but excellent quality. Definitely worth a visit - we will be coming back to play many times in the future.,5,2021-09-08
kuta,Waterbom_Bali,"In 2015, my family and I planned to go on vacation and my family decided to go on vacation to Bali. In Bali, there are many tourist attractions that can be visited. On that day, the weather was very hot so instead of buying an ice cream, we decided to went to waterbom bali.Waterbom Bali is located at Jalan Kartika Plaza, Kuta, Bali 80361, Indonesia. This water tourism object is perfect for you to spend your vacation with your family and closest friends. Even though there are so many tourist attractions you can visited, Waterbom Bali is a place that you must visit if you go to Bali.There are lots of facilities that we can enjoy in waterbom bali. There are storage lockers, a gazebo, a place to rent a place and there are many restaurants inside. In addition to the many facilities that we can enjoy, there are also many rides that we can play. Climax is one of the rides that we can play, this ride invites you to play in a small hallway with a height of 16 meters above the ground and is able to push you quickly using the flow of water. And also in Waterbom Bali, There are people who is a guards that will watch over us and reprimand us if we commit violations such as eating food while swimming or drinking while swimming.Also if you went to Waterbom Bali, I suggest you to look at the map and remember the rute because I once had lost and get separeted with my cousins inside of Waterbom Bali. That’s all for my review for Waterbom Bali, I really hope you guys can atleast once go to waterbom bali because it is really fun.",5,2021-09-02
kuta,Waterbom_Bali,"Waterbom Bali is a place to have fun with water. Located in kuta area, waterbom will give so much pleasure all day fun with family and friends. It was built in 3.8 hectar and it has more than 20 waterslides, makes waterbom bali is one of the biggest waterpark in south east asia.The staffs are friendly and helpful. The place is well maintained, clean and safety conscious. some of the good water ride that you should try such as funtastic, smash down, phyton, pipeline, and for sure lazy river. The price is reasonable since you can be in the waterbom bali for whole day. The food is also good and there is an icecream. Over all, waterbom bali is a good place to play with water with family and friends. Enjoy!",5,2021-08-12
kuta,Waterbom_Bali,THIS WAS AWESOME FUN!We had the best time at Waterbom it was very quiet so we didn't have to wait for any queues we pretty had the whole place to ourselves. The facilities are good and the staff really went out of their way to help us have a fantastic time but take lots of sun screen because you are having so much fun it washes off quick and you do forget to apply more on.Other tan that is was SUPER FUN.Really highly recommended a must do in Bali,5,2021-08-05
kuta,Waterbom_Bali,"Cleanliness been amazing, well organized. The surfing course is way too expensive need adjustment in some way to lower the price, variety of attraction Is all fun, pool guard been very helpful finding us an empty pool chair. Changing room locker room shower room are well cleaned",5,2021-07-19
kuta,Waterbom_Bali,"I came with my husband and my 4yo son. We enjoy our time here. My husband said our visit to Waterbom Bali was the highlight of our 3weeks stay in Bali! So many slides, great food n bevs, my son was having so much fun too! Definitely would recommend everyone to spend 1 day of your holiday in Bali to visit Waterbom",5,2021-07-01
kuta,Waterbom_Bali,"one of the best waterparks I've been to in Indonesia and will always be my favorite waterpark.  Starting from the service to the facilities offered are very diverse.  Moreover, the slides they have are also very unique, different, and thrilling that you won't find in other waterparks",5,2021-06-15
kuta,Waterbom_Bali,"We went there with a group of friends of all ages (26-64) and enjoyed not only the fantastic slides and rides in and through the water but also the food, the swimmingpool bar and everything else. Great day! And with the special price it was twice as much fun.",5,2021-06-09
kuta,Waterbom_Bali,Good place to refreshing after tired off work. But i think the value off price for food little bit expensive :) that’s my opinion. Thankyou.,4,2021-06-09
kuta,Waterbom_Bali,"Food expensive and small portions. Need to have refills for water, less plastic in the world. I don’t think I’ll comeback.",5,2021-05-27
kuta,Waterbom_Bali,"This is such an amazing Waterpark. So well designed, so clean, incredible staff, very well priced. We will go back again and again.",5,2021-05-25
kuta,Waterbom_Bali,"staff and  service is good,  the place is nice and shade. Many game and amazing . This Waterboom is the best in Indonesia . but  fried rice is not pleasant on restourant. the other was all nice.if you come to Bali, you should be visit there.",4,2021-05-22
kuta,Waterbom_Bali,This place was awesome. Really more beautiful and fun than I expected. Plenty for all levels of adventure enthusiasts.,5,2021-05-13
kuta,Waterbom_Bali,"Waterbom Bali is a world-class water park with excellent rides, good food and bales with safes that make a convenient base when visiting with a group. Fun for kids and adults!!",5,2021-05-10
kuta,Waterbom_Bali,We had an amazing time with much fun on all the slides at waterbom. This is a must visit for all ages when visiting bali.,5,2021-05-06
kuta,Waterbom_Bali,The Easter package was really attractive and we didn’t have to wait much for attractions.We spend a really nice day and will be back for sure.Thanks a lot Waterboom Bali,5,2021-05-03
kuta,Waterbom_Bali,Awesome place. We ent with our 8 year old daughter and had a great time. Once bonus of covid times is that it wasn't that busy. I think it would be a different experience otherwise. We had a great time and would definitely go again.,5,2021-05-02
kuta,Waterbom_Bali,Ive been here when i was little and back again now with my husband.. it was so fun esp nowadays not so many people but they do their services at its best.. thank you Waterbom Bali..,5,2021-04-30
kuta,Waterbom_Bali,"First time going back since Covid started. The whole team there is fully prepared and following the health protocol perfectly.That being said I'm amazed with the level of quality of the park. The rides are amazing. You have a bit for everyone. you can come spend the whole day there with family or group of friend or both.The staff is so amazing, keeping everyone safe with a smile and always friendly things to say. I had no issue going for a coconut poolside while my teen was running around the park trying every ride. She came back and told me she now knew all the staff and had had friendly chit chat with each. She then decided to introduce me. Anyway, it was just her and me for a bounding time. We had the most amazing day. And the fact that it was discounted because of covid made it even better",5,2021-04-16
kuta,Waterbom_Bali,"The best waterbom ever! They offer pool for everybody, you can go there and enjoy your day even when you're with baby. During the pandemic they have special discount, and don't worry about cleanliness, they do it with all their heart!!",5,2021-03-17
kuta,Waterbom_Bali,"I was surprised to learn how much it cost to visit this place. Around 200k for local adult. However, i find that inside there are a lot of trained staffs and they keep the place clean and tidy. The slides and attractions is also worth it for the admission fee. However, the layout of this place is really confusing for me",5,2021-01-19
kuta,Waterbom_Bali,"Just come here to having outing with team in my workplaces, the place beautiful with many pool and games, so happy, staff bit lazy and the food for buffet need upgrade.",4,2020-12-20
kuta,Waterbom_Bali,"A nice place for family recreation, nice amd kindly staff and good food. Lazy river our favourite spot",5,2020-09-21
kuta,Waterbom_Bali,"Climax and Boomerang is the best slide, especially the climax one. i need to take like 10 minutes upstairs until i finally made it and it was super fun. Their staff also very friendly. I forget the name of the guy (public area i think) in lady locker who is helping me to fix my key without even asking, thanks a lot to him.",5,2020-08-22
kuta,Waterbom_Bali,We had fun with our kids. Everything was orderly and easy to locate. Getting here can be bad when stuck in traffic.,4,2020-06-21
kuta,Waterbom_Bali,"Amazing experience, thrilling slides. Food inside was a bit pricey but tasty. Easily one of our best days in Bali.",5,2020-06-14
kuta,Waterbom_Bali,"One of the better water parks I have visited, Good mixture of rides, and very helpful staffs. I bought tickets at entry which turned out to be costlier than the rate at which they sell online.",4,2020-06-12
kuta,Waterbom_Bali,"As we were unable to attend Waterbom Park due to not being able to enter the country I attempted to contact Waterbom Park to see if they would refund or credit the $450 I paid for my family and a shelter for the day.    I received no communication back until they asked me how I enjoyed my time at Waterbom Park and asked me to fill out a survey.Very poor form Waterbom, is that classed as salt into the wound?",1,2020-05-13
kuta,Waterbom_Bali,"Its been many years since a visit to Waterbom in Bali - what a transformation! Super impressed with the whole experience - booked online, with meals and towels included in the package. Electronic wrist bands to access food and drinks, great facilities for any age group and an awesome array of activities - all infrastructure and equipment in great condition. Way better than I remembered or expected - well done Waterbom - we'll be back.",5,2020-03-17
kuta,Waterbom_Bali,"We visited here on our honeymoon, it was a really fun day, there's lots to do and we really enjoyed the Lazy River and Pool Bar,  would highly recommend, there is a kids pool which was separate from the main pool which meant it was a bit quieter by the main pool which had chilled music playing all day. We purchased the tickets online in advance which were slightly cheaper.",5,2020-03-14
