place,location,content,rating_num,dates,sentiments,Positive Sentiment,Neutral Sentiment,Negative Sentiment,Compound Sentiment,label
kuta,Waterbom_Bali,unexpectedly much fun andreally great way spendday family with3 year old toddler still many options keep us buys day highly recommended alternative activity whilst bali kids adults,5,2021-12-30,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.8588}",0.28300099999999995,0.717001,1e-06,0.858801,1
kuta,Waterbom_Bali,enjoyable day family booked tickets online waterbom website quite easy staff friendly well trained one best water parks please remember open friday till sunday,5,2021-12-30,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.9528}",0.502001,0.49800099999999997,1e-06,0.952801,1
kuta,Waterbom_Bali,place fun joy really high recommend visit waterbom staffs gorgeous can’t wait ho,4,2021-12-14,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.931}",0.607001,0.393001,1e-06,0.9310010000000001,1
kuta,Waterbom_Bali,place make memorable experiencethere exciting waterslides water games agesand best thing changing room clean,5,2021-12-14,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.8779}",0.47900099999999995,0.521001,1e-06,0.877901,1
kuta,Waterbom_Bali,came multiple times havehad chance leave something nice waterbom kuta bali definitely one best waterparks indonesia service wonderful food surprisingly nice overall entrance tickets may seembit pricey i’d say worthwhole day pool plus lots promotions going hopefully survive pandemic come back soon kids,5,2021-12-05,"{'neg': 0.021, 'neu': 0.576, 'pos': 0.403, 'compound': 0.9678}",0.403001,0.576001,0.021001000000000002,0.967801,1
kuta,Waterbom_Bali,hadawesome day waterbom park first give youwrist band charge buy food drinks etc park wrist band still charged leave rest money returned islarge water park high water slides one best parts lazy river sleeps tube flow water moves ingreen direction arenumber cafes fast foods used massage professional good park spendfull day waterbom ita lot fun,5,2021-09-18,"{'neg': 0.085, 'neu': 0.755, 'pos': 0.16, 'compound': 0.7845}",0.160001,0.755001,0.08500100000000001,0.784501,1
kuta,Waterbom_Bali,awesome day kids grown ups alike rides world class plenty safety staff facilities well maintained clean pricey food expected theme park excellent quality definitely worthvisit coming back play many times future,5,2021-09-08,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.9612}",0.461001,0.5390010000000001,1e-06,0.9612010000000001,1
kuta,Waterbom_Bali,2015 family andplanned go vacation family decided go vacation bali bali many tourist attractions visited day weather hot instead buying ice cream decided went waterbom baliwaterbom bali located jalan kartika plaza kuta bali 80361 indonesia water tourism object perfect spend vacation family closest friends even though many tourist attractions visited waterbom bali isplace must visit go balithere lots facilities enjoy waterbom bali storage lockersgazeboplace rentplace many restaurants inside addition many facilities enjoy also many rides play climax one rides play ride invites play insmall hallway withheight 16 meters ground able push quickly using flow water also waterbom bali people isguards watch us reprimand us commit violations eating food swimming drinking swimmingalso went waterbom balisuggest look map remember rute becauseonce lost get separeted cousins inside waterbom bali that’s review waterbom balireally hope guys atleast go waterbom bali really fun,5,2021-09-02,"{'neg': 0.035, 'neu': 0.754, 'pos': 0.211, 'compound': 0.9798}",0.211001,0.754001,0.035001000000000004,0.979801,1
kuta,Waterbom_Bali,waterbom bali isplace fun water located kuta area waterbom give much pleasure day fun family friends built 38 hectar 20 waterslides makes waterbom bali one biggest waterpark south east asiathe staffs friendly helpful place well maintained clean safety conscious good water ride try funtastic smash phyton pipeline sure lazy river price reasonable since waterbom bali whole day food also good icecream waterbom bali isgood place play water family friends enjoy,5,2021-08-12,"{'neg': 0.025, 'neu': 0.538, 'pos': 0.437, 'compound': 0.9901}",0.437001,0.5380010000000001,0.025001000000000002,0.990101,1
kuta,Waterbom_Bali,awesome funwe best time waterbom quiet didnt wait queues pretty whole place facilities good staff really went way help us havefantastic time take lots sun screen much fun washes quick forget apply onother tan super funreally highly recommendedmust bali,5,2021-08-05,"{'neg': 0.08, 'neu': 0.545, 'pos': 0.376, 'compound': 0.9574}",0.376001,0.5450010000000001,0.080001,0.9574010000000001,1
kuta,Waterbom_Bali,cleanliness amazing well organized surfing course way expensive need adjustment way lower price variety attraction fun pool guard helpful finding us empty pool chair changing room locker room shower room well cleaned,5,2021-07-19,"{'neg': 0.089, 'neu': 0.532, 'pos': 0.379, 'compound': 0.9201}",0.379001,0.5320010000000001,0.089001,0.9201010000000001,1
kuta,Waterbom_Bali,came husband 4yo son enjoy time husband said visit waterbom bali highlight 3weeks stay bali many slides great foodbevs son much fun definitely would recommend everyone spend 1 day holiday bali visit waterbom,5,2021-07-01,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.9633}",0.455001,0.5450010000000001,1e-06,0.9633010000000001,1
kuta,Waterbom_Bali,one best waterparks ive indonesia always favorite waterpark starting service facilities offered diverse moreover slides also unique different thrilling wont find waterparks,5,2021-06-15,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.8834}",0.35200099999999995,0.648001,1e-06,0.883401,1
kuta,Waterbom_Bali,went withgroup friends ages 2664 enjoyed fantastic slides rides water also food swimmingpool bar everything else great day special price twice much fun,5,2021-06-09,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.9643}",0.5420010000000001,0.458001,1e-06,0.9643010000000001,1
kuta,Waterbom_Bali,good place refreshing tired work butthink value price food little bit expensive that’s opinion thankyou,4,2021-06-09,"{'neg': 0.144, 'neu': 0.594, 'pos': 0.262, 'compound': 0.34}",0.262001,0.594001,0.144001,0.340001,1
kuta,Waterbom_Bali,food expensive small portions need refills water less plastic worlddon’t think i’ll comeback,5,2021-05-27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1e-06,1.000001,1e-06,1e-06,0
kuta,Waterbom_Bali,amazing waterpark well designed clean incredible staff well priced go back,5,2021-05-25,"{'neg': 0.0, 'neu': 0.395, 'pos': 0.605, 'compound': 0.8658}",0.605001,0.395001,1e-06,0.865801,1
kuta,Waterbom_Bali,staff service good place nice shade many game amazing waterboom best indonesia fried rice pleasant restourant niceif come bali visit,4,2021-05-22,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.9517}",0.5310010000000001,0.46900099999999995,1e-06,0.951701,1
kuta,Waterbom_Bali,place awesome really beautiful fun thanexpected plenty levels adventure enthusiasts,5,2021-05-13,"{'neg': 0.0, 'neu': 0.232, 'pos': 0.768, 'compound': 0.9483}",0.768001,0.232001,1e-06,0.9483010000000001,1
kuta,Waterbom_Bali,waterbom bali isworldclass water park excellent rides good food bales safes makeconvenient base visiting withgroup fun kids adults,5,2021-05-10,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.8834}",0.447001,0.5530010000000001,1e-06,0.883401,1
kuta,Waterbom_Bali,amazing time much fun slides waterbom ismust visit ages visiting bali,5,2021-05-06,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.7964}",0.441001,0.5590010000000001,1e-06,0.796401,1
kuta,Waterbom_Bali,easter package really attractive didn’t wait much attractionswe spendreally nice day back surethankslot waterboom bali,5,2021-05-03,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7178}",0.316001,0.6840010000000001,1e-06,0.717801,1
kuta,Waterbom_Bali,awesome place ent 8 year old daughter hadgreat time bonus covid times wasnt busythink would bedifferent experience otherwise hadgreat time would definitely go,5,2021-05-02,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.8834}",0.35200099999999995,0.648001,1e-06,0.883401,1
kuta,Waterbom_Bali,ive whenwas little back husband fun esp nowadays many people services best thank waterbom bali,5,2021-04-30,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.8669}",0.448001,0.5520010000000001,1e-06,0.866901,1
kuta,Waterbom_Bali,first time going back since covid started whole team fully prepared following health protocol perfectlythat said im amazed level quality park rides amazing havebit everyone come spend whole day family group friend boththe staff amazing keeping everyone safe withsmile always friendly things sayhad issue going forcoconut poolside teen running around park trying every ride came back told knew staff friendly chit chat decided introduce anyway forbounding time amazing day fact discounted covid made even better,5,2021-04-16,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.9854}",0.343001,0.6570010000000001,1e-06,0.9854010000000001,1
kuta,Waterbom_Bali,best waterbom ever offer pool everybody go enjoy day even youre baby pandemic special discount dont worry cleanliness heart,5,2021-03-17,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.9101}",0.455001,0.5450010000000001,1e-06,0.910101,1
kuta,Waterbom_Bali,surprised learn much cost visit place around 200k local adult howeverfind inside arelot trained staffs keep place clean tidy slides attractions also worth admission fee however layout place really confusing,5,2021-01-19,"{'neg': 0.06, 'neu': 0.685, 'pos': 0.255, 'compound': 0.7275}",0.255001,0.6850010000000001,0.060001,0.7275010000000001,1
kuta,Waterbom_Bali,come outing team workplaces place beautiful many pool games happy staff bit lazy food buffet need upgrade,4,2020-12-20,"{'neg': 0.104, 'neu': 0.581, 'pos': 0.315, 'compound': 0.7269}",0.315001,0.581001,0.104001,0.726901,1
kuta,Waterbom_Bali,nice place family recreation nice amd kindly staff good food lazy river favourite spot,5,2020-09-21,"{'neg': 0.108, 'neu': 0.388, 'pos': 0.504, 'compound': 0.8481}",0.504001,0.388001,0.108001,0.848101,1
kuta,Waterbom_Bali,climax boomerang best slide especially climax oneneed take like 10 minutes upstairs untilfinally made super fun staff also friendlyforget name guy public areathink lady locker helping fix key without even asking thankslot,5,2020-08-22,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.9442}",0.374001,0.626001,1e-06,0.9442010000000001,1
kuta,Waterbom_Bali,fun kids everything orderly easy locate getting bad stuck traffic,4,2020-06-21,"{'neg': 0.311, 'neu': 0.339, 'pos': 0.35, 'compound': 0.1779}",0.35000099999999995,0.339001,0.31100099999999997,0.177901,1
